Nombre	Edad	Email	Teléfono	Educación	Ocupación	Años de experiencia	Estado civil	Hijos	RFC	CURP	Entidad	Salario mensual
ABARCA LOYA INGRID	43	l.russel1@randatmail.com	455-8201-72	Secundaria	Matemático	5	Casado	1	AALI830112RV0	AALI830112MMNBYN02	MICHOACAN	42446.0
ABARCA LOYA YESENIA	43	l.mitchel3@yahoo.com	912-6796-52	Secundaria	Piloto de avión	1	Soltero	3	AALY820127N88	AALY820127MMNBYS07	QUINTANA ROO	23894.0
ABARCA LUNA MARCELINO	53	m.phillip2@yahoo.com	697-6064-79	Maestría	Economista	15	Casado	2	AALM630203MJ6	AALM630203HGRBNR05	MEXICO	33987.200000000004
ABARCA MACIAS LAURA ELENA	48	j.clar1@gmail.com	774-7599-02	Primaria	Arqueólogo	7	Soltero	1	AAML650818GJ1	AAML650818MMNBCR09	MICHOACAN	2250.0
ABARCA MALDONADO MIRNA DEL CARMEN	46	m.dixo2@hotmail.com	921-0929-38	Maestría	Periodista	9	Casado	2	AAMM8706116N8	AAMM870611MCSBLR03	CHIAPAS	5850.0
ABARCA MARCIAL ALEJANDRO	45	c.ree2@yahoo.com	135-0719-83	Doctorado	Compositor	10	Soltero	2	AAMA720210PI1	AAMA720210HGRBRL00	GUERRERO	5850.0
ABARCA MARCIAL GEISI	48	k.ree3@hotmail.com	563-4982-91	Secundaria	Bombero	10	Casado	3	AAMG791103GE3	AAMG791103MGRBRS03	GUERRERO	20802.0
ABARCA MARTINEZ BLANCA ESTELA	53	n.taylo4@gmail.com	975-7050-14	Maestría	Periodista	15	Soltero	4	AAMB740811MZA	AAMB740811MCSBRL10	CHIAPAS	5850.0
ABARCA MATEOS GISELA ESTELA	49	a.wes0@yahoo.com	949-3203-77	Doctorado	Chef	11	Soltero	0	AAMG5909158C6	AAMG590915MGRBTS09	GUERRERO	54085.200000000004
ABARCA MAYA MARTINIANO MARCO ANTONIO	41	a.roger4@outlook.com	357-2325-37	Maestría	Arqueólogo	7	Soltero	4	AAMM650702000	AAMM650702HMCBYR03	MEXICO	21928.4
ABARCA MEJIA LINDA ISABEL	51	a.dougla3@randatmail.com	248-0481-37	Secundaria	Arquitecto	11	Soltero	3	AAML850515N83	AAML850515MVZBJN00	VERACRUZ	33170.0
ABARCA MELQUIADES PORFIRIO	46	t.dixo5@yahoo.com	024-1039-64	Licenciatura	Periodista	1	Soltero	5	AAMP601006KH4	AAMP601006HGRBLR09	GUERRERO	32328.0
ABARCA MELQUIADES RUBEN	51	s.myer4@hotmail.com	387-6065-58	Maestría	Veterinario	12	Casado	4	AAMR640119CF8	AAMR640119HGRBLB02	GUERRERO	25948.0
ABARCA MENDIOLA IMELDA	50	h.evan0@hotmail.com	447-4981-04	Maestría	Trabajador social	10	Soltero	0	AAMI610521N86	AAMI610521MGRBNM08	MEXICO	54085.200000000004
ABARCA MERINO RAMON	53	c.andrew0@randatmail.com	871-0914-39	Secundaria	Trabajador social	4	Soltero	0	AAMR590831T77	AAMR590831HMSBRM07	MEXICO	2250.0
ABARCA MORALES MARTHA ELENA	48	j.farrel5@randatmail.com	372-9257-34	Maestría	Arquitecto	5	Soltero	5	AAMM590104G46	AAMM590104MGRBRR07	MICHOACAN	29967.600000000002
ABARCA MORALES MELBA	42	f.rya3@outlook.com	793-2436-28	Secundaria	Químico	1	Soltero	3	AAMM8301098P9	AAMM830109MGRBRL09	GUERRERO	36262.0
ABARCA MORENO MA DEL ROSARIO	48	n.robinso2@outlook.com	536-4964-16	Primaria	Oficial de policía	3	Casado	2	AAMR7508126M8	AAMR750812MGRBRS09	GUERRERO	30078.0
ABARCA MUNGUIA YAMEL	47	p.gran2@outlook.com	593-0722-89	Secundaria	Programador	3	Casado	2	AAMY770203HJ2	AAMY770203MGRMNL02	GUERRERO	20802.0
ABARCA MURILLO GUADALUPE	46	a.smit5@gmail.com	715-1748-11	Secundaria	Geólogo	0	Casado	5	AAMG571212FX4	AAMG571212MGRBRD03	GUERRERO	2250.0
ABARCA NABAR JUAN NOLBERTO	49	a.wilso3@outlook.com	315-8322-89	Maestría	Fotógrafo	12	Casado	3	AANJ720424674	AANJ720424HCSBBN01	CHIAPAS	5850.0
ABARCA NAVA MARIA ANTONIA	53	l.hawkin1@outlook.com	569-3038-53	Doctorado	Conferencista	11	Casado	1	AANA6407311H5	AANA640731MCSBVN04	CHIAPAS	33987.200000000004
ABARCA NAVAR ROMEO	42	d.kell4@gmail.com	394-1351-48	Doctorado	Chef	0	Soltero	4	AANR660328FE5	AANR660328HCSBVM02	CHIAPAS	29967.600000000002
ABARCA NERI MARGARITO	47	h.bake3@gmail.com	145-4473-10	Maestría	Florista	6	Soltero	3	AANM5406109L3	AANM540610HGRBRR07	GUERRERO	17908.8
ABARCA NIETO EDGAR LEANDRO	53	f.watso1@randatmail.com	707-7786-46	Primaria	Cocinero	7	Casado	1	AANE870827DG7	AANE870827HCSBTD00	CHIAPAS	42446.0
ABARCA NUCAMENDI MARIO	43	m.walke5@gmail.com	256-6355-80	Doctorado	Contador	9	Casado	5	AANM440426SMA	AANM440426HCSBCR13	CHIAPAS	33987.200000000004
ABARCA NUNEZ DEYANIRA	51	w.evan0@outlook.com	780-7372-05	Maestría	Piloto de avión	8	Casado	0	AAND640917EA1	AAND640917MMNBXY05	MICHOACAN	21928.4
ABARCA OCAMPO HECTOR EDUARDO	46	m.well4@yahoo.com	221-2484-89	Secundaria	Trabajador social	9	Soltero	4	AAOH800616SEA	AAOH800616HGRBCC08	GUERRERO	30078.0
ABARCA OCAMPO JOAQUIN	44	r.clar2@randatmail.com	786-8943-23	Secundaria	Oficial de policía	7	Soltero	2	AAOJ590816UBA	AAOJ590816HGRBCQ06	GUERRERO	26986.0
ABARCA OCHOA IGOR	50	c.wrigh2@outlook.com	517-2107-76	Licenciatura	Fotógrafo	4	Soltero	2	AAOI810807DN0	AAOI810807HGRBCG07	GUERRERO	38512.0
ABARCA OJEDA GILBERTO	42	s.col0@outlook.com	701-2352-17	Primaria	Historiador	4	Casado	0	AAOG700204PZ9	AAOG700204HGRNCL02	GUERRERO	2250.0
ABARCA OJEDA MARIA ILENIA	42	k.hun1@randatmail.com	005-8040-42	Maestría	Químico	0	Casado	1	AAOI790823UK2	AAOI790823MGREJL00	GUERRERO	50065.6
ABARCA ORTIZ MARIA DE JESUS	52	a.smit5@hotmail.com	373-8464-29	Primaria	Peluquero	9	Soltero	5	AAOJ630107VCA	AAOJ630107MGRBRS08	PUEBLA	33170.0
ABARCA OZUNA PATRICIA GUADALUPE	53	f.watso0@gmail.com	071-8163-10	Doctorado	Fotógrafo	14	Soltero	0	AAOP6610243T1	AAOP661024MCSBZT07	CHIAPAS	13889.2
ABARCA PACHECO ELSA	43	l.higgin0@hotmail.com	727-7883-77	Doctorado	Cantante	10	Soltero	0	AAPE721202TU1	AAPE721202MDFBCL05	MEXICO	9869.6
ABARCA PALOMEQUE JAIME JESUS	52	s.payn2@hotmail.com	298-7322-58	Secundaria	Diseñador gráfico	7	Casado	2	AAPJ641002K12	AAPJ641002HCSBLM04	CHIAPAS	20802.0
ABARCA PEREZ MAYMITH	47	v.maso0@randatmail.com	152-5030-83	Secundaria	Historiador	8	Soltero	0	AAPM780420DU5	AAPM780420MGRBRY00	GUERRERO	33170.0
ABARCA PEREZ RICARDO	46	b.johnsto3@hotmail.com	628-9005-25	Secundaria	Astrónomo	2	Casado	3	AAPR6603039G5	AAPR660303HGRBRC03	MICHOACAN	17710.0
ABARCA PESQUERA MARIA DE GUADALUPE	47	v.howar3@yahoo.com	186-3798-94	Secundaria	Físico	7	Soltero	3	AAPM6207222U3	AAPG620722MGRBSD03	GUERRERO	20802.0
ABARCA RAMIREZ ESPERANZA	45	a.johnso5@yahoo.com	433-8058-05	Licenciatura	Artista plástico	1	Soltero	5	AARE670417LT2	AARE670417MCSBMS06	CHIAPAS	13776.0
ABARCA RAMIREZ MARCO ANTONIO	51	j.barret1@outlook.com	539-8101-49	Maestría	Geólogo	5	Casado	1	AARM730426IG3	AARM730426HGRBMR04	MEXICO	13889.2
ABARCA RAMIREZ MARIA GUADALUPE	49	v.morga1@gmail.com	737-6023-18	Licenciatura	Artista plástico	0	Casado	1	AARG6306054V7	AARG630605MCSBMD02	CHIAPAS	4500.0
ABARCA RAMIREZ POLICARPO	51	r.campbel2@randatmail.com	518-6201-66	Maestría	Bombero	14	Soltero	2	AARP610126C1A	AARP610126HMSBML00	MEXICO	58104.8
ABARCA RAMIREZ TEOFILO	51	c.baile2@gmail.com	732-6919-51	Doctorado	Diseñador de moda	13	Casado	2	AART641013LDA	AART641013HMSBMF05	MEXICO	54085.200000000004
ABARCA RAMOS MARIA DE LA LUZ	46	e.holme3@gmail.com	674-3763-43	Maestría	Peluquero	4	Casado	3	AARL501210MW0	AARL501210MGRBMZ06	GUERRERO	54085.200000000004
ABARCA RENDON LUZ MERCEDES	53	a.smit3@hotmail.com	486-0726-40	Doctorado	Meteorólogo	1	Soltero	3	AARL690924QT7	AARL690924MCSBNZ02	CHIAPAS	50065.6
ABARCA RENDON MARIA ESTHER	49	b.steven2@gmail.com	357-7907-43	Primaria	Panadero	13	Casado	2	AARE670326N9A	AARE670326MCSBNS02	CHIAPAS	8434.0
ABARCA REYES MA. GUADALUPE	44	e.crai4@gmail.com	222-5154-81	Secundaria	Auditor	6	Casado	4	AARG771001BF2	AARG771001MMNBYD00	MICHOACAN	23894.0
ABARCA RIOS NANCY	42	c.turne5@hotmail.com	442-1659-44	Secundaria	Oficial de policía	3	Casado	5	AARN870115000	AARN870115MMCBSN06	MEXICO	2250.0
ABARCA ROBLES MARIA ESTHER	53	a.anderso3@yahoo.com	940-4863-12	Secundaria	Contador	10	Casado	3	AARE610702000	AARE610702MDFBBS07	MEXICO	26986.0
ABARCA RODRIGUEZ ALEIDA	47	d.marti1@outlook.com	103-0493-47	Primaria	Joyero	8	Casado	1	AARA790619000	AARA790619MGRBDL04	GUERRERO	42446.0
ABARCA RODRIGUEZ ANA LILIA	51	j.robinso5@yahoo.com	692-3942-66	Maestría	Trabajador social	9	Soltero	5	AARA790606000	AARA790606MMCBDN09	MEXICO	54085.200000000004
ABARCA RODRIGUEZ GABRIELA	46	l.col2@randatmail.com	812-4846-89	Licenciatura	Botánico	1	Soltero	2	AARG830728000	AARG830728MMCBOB00	MEXICO	19960.0
ABARCA RODRIGUEZ JORGE LUIS	49	v.crawfor2@outlook.com	537-0409-94	Maestría	Trabajador social	8	Casado	2	AARJ660217RG1	AARJ660217HGRBDR03	MEXICO	25948.0
ABARCA RODRIGUEZ JORGE VALENTE	48	m.walke5@randatmail.com	117-1332-28	Licenciatura	Vendedor	3	Soltero	5	AARJ75010127A	AARJ750101HGRBDR07	GUERRERO	38512.0
ABARCA RODRIGUEZ LIZBETH	41	s.dixo2@gmail.com	442-1682-75	Doctorado	Periodista	3	Soltero	2	AARL800704000	AARL800704MMCBDZ05	MEXICO	38006.8
ABARCA RODRIGUEZ MA LOURDES	49	j.robinso4@gmail.com	226-0404-80	Doctorado	Trabajador social	12	Soltero	4	AARL660211KC4	AARL660211MMNBDR05	MICHOACAN	5850.0
ABARCA RODRIGUEZ MARIA DEL ROSARIO	46	r.phillip2@gmail.com	860-1210-53	Doctorado	Veterinario	2	Soltero	2	AARR821007UU6	AARR821007MGRBDS17	GUERRERO	25948.0
ABARCA RODRIGUEZ TOMAS	43	a.myer3@yahoo.com	939-3133-53	Licenciatura	Contador	6	Soltero	3	AART760906NC4	AART760906HGRBDM00	GUERRERO	35420.0
ABARCA ROJAS PABLO	45	m.foste0@outlook.com	372-0723-09	Licenciatura	Geólogo	4	Casado	0	AARP6007042L1	AARP600704HMSBJB07	MEXICO	19960.0
ABARCA ROMAN NATALIA	49	b.brow4@outlook.com	447-8252-18	Secundaria	Oficial de policía	0	Casado	4	AARN600727AQ6	AARN600727MGRBMT04	VERACRUZ	2250.0
ABARCA ROSALES ELOINA DEL CARMEN	45	e.nelso3@outlook.com	166-5462-53	Licenciatura	Fotógrafo	4	Casado	3	AARE491115B97	AARE491115MCSBSL03	CHIAPAS	26144.0
ABARCA SALAZAR MAGDALENA	41	m.spence3@randatmail.com	090-9049-32	Secundaria	Gerente	8	Soltero	3	AASM781002FU7	AASM781002MMSBLG03	MEXICO	14618.0
ABARCA SANCHEZ ANGELICA	44	s.foste1@gmail.com	715-4060-84	Licenciatura	Intérprete	0	Casado	1	AASA610830MX7	AASA610830MMNBNN07	MICHOACAN	32328.0
ABARCA SANCHEZ ASTRID IVETT	47	a.harriso1@randatmail.com	592-6168-93	Licenciatura	Actor	4	Soltero	1	AASA771109TU1	AASA771109MMNBNS01	MICHOACAN	44696.0
ABARCA SANCHEZ CAROLINA	45	w.howar2@randatmail.com	888-2512-60	Maestría	Conferencista	0	Soltero	2	AASC8403196Q0	AASC840319MGRBNR01	GUERRERO	5850.0
ABARCA SANCHEZ CIPATLI	42	d.alle5@gmail.com	129-5751-07	Secundaria	Farmacéutico	7	Casado	5	AASC791128KD1	AASC791128MMNBNP03	MICHOACAN	17710.0
ABARCA SANCHEZ DOMINGO	52	j.holme5@gmail.com	171-2732-45	Secundaria	Médico	1	Soltero	5	AASD7103077R9	AASD710307HMNBNM03	MICHOACAN	36262.0
ABARCA SANCHEZ EDUARDO	46	a.barne5@outlook.com	367-2617-50	Maestría	Químico	9	Soltero	5	AASE590706SA2	AASE590706HMNBND04	MICHOACAN	9869.6
ABARCA SANCHEZ JUAN ALEJANDR	45	s.phillip1@gmail.com	935-4765-07	Secundaria	Cantante	0	Soltero	1	AASJ7309223E2	AASJ730922HMNBNN03	MICHOACAN	11526.0
ABARCA SANCHEZ MA IRMA	49	l.brow1@outlook.com	208-9910-22	Secundaria	Cantante	11	Casado	1	AASI560905Q71	AASI560905MMNBNR05	MICHOACAN	20802.0
ABARCA SANCHEZ NORMA ANGELICA	41	r.well2@outlook.com	393-2797-72	Primaria	Diseñador de moda	8	Soltero	2	AASN680523R2A	AASN680523MGRBNR04	GUERRERO	26986.0
ABARCA SANTIAGO RAUL	47	i.campbel3@yahoo.com	296-7341-99	Maestría	Periodista	6	Soltero	3	AASR560220F2A	AASR560220HOCBNL03	OAXACA	54085.200000000004
ABARCA SERRANO MARINA	48	d.steven4@gmail.com	246-5252-95	Primaria	Veterinario	8	Casado	4	AASM7307063UA	AASM730706MGRBRR00	GUERRERO	5342.0
ABARCA SERRANO WBERT ABRAHAM	53	r.montgomer4@outlook.com	215-3908-77	Licenciatura	Economista	6	Soltero	4	AASW880311VB8	AASW880311HCSBRB09	CHIAPAS	44696.0
ABARCA SOTELO FERNANDO	53	n.kell3@outlook.com	823-5522-83	Secundaria	Cocinero	8	Casado	3	AASF6805042IA	AASF680504HGRBTR07	GUERRERO	11526.0
ABARCA TREJO HUGO	53	a.campbel4@gmail.com	646-0523-53	Maestría	Piloto de avión	3	Soltero	4	AATH750909DN6	AATH750909HCSBRG03	CHIAPAS	54085.200000000004
ABARCA URBINA MARIA DE JESUS	41	a.ree2@hotmail.com	794-5619-74	Primaria	Médico	4	Casado	2	AAUJ620626D32	AAUJ620626MCSBRS01	CHIAPAS	11526.0
ABARCA URQUIN ELEAZAR	51	l.coope5@outlook.com	514-8903-83	Secundaria	Abogado	9	Soltero	5	AAUE691106GQ5	AAUE691106HCSBRL02	CHIAPAS	33170.0
ABARCA URQUIN GLORIA	51	n.spence5@randatmail.com	819-8757-60	Licenciatura	Oficial de policía	8	Casado	5	AAUG730422JW9	AAUG730422MCSBRL01	CHIAPAS	38512.0
ABARCA URQUIN WILBER	42	m.mille4@randatmail.com	629-1491-94	Secundaria	Economista	2	Casado	4	AAUW791028HN8	AAUW791028HCSBRL06	CHIAPAS	20802.0
ABARCA VALDES JOSE AUGUSTO	42	k.crai0@gmail.com	974-7973-81	Doctorado	Conductor	4	Soltero	0	AAVA481201531	AAVA481201HCSBLG04	CHIAPAS	38006.8
ABARCA VALLADARES JESUS MANU	42	s.clar5@hotmail.com	828-2977-61	Secundaria	Electricista	4	Soltero	5	AAVJ570227623	AAVJ570227HMNBLS03	MICHOACAN	2250.0
ABARCA VARGAS DAMARIS	44	e.marti2@outlook.com	623-7642-40	Licenciatura	Historiador	0	Soltero	2	AAVD760410JM6	AAVD760410MJCBRM09	JALISCO	29236.0
ABARCA VARGAS JAVIER ALBERTO	44	e.coope0@hotmail.com	719-3738-63	Licenciatura	Científico	2	Casado	0	AAVJ670321LG5	AAVJ670321HGRBRV07	GUERRERO	13776.0
ABARCA VARGAS MYRIAN LIZETH	44	d.ros5@outlook.com	780-5570-21	Secundaria	Geólogo	2	Casado	5	AAVM790604DVA	AAVM790604MJCBRY08	JALISCO	11526.0
ABARCA VAZQUEZ EDILIA	42	m.armstron3@outlook.com	770-3752-98	Licenciatura	Oficial de policía	6	Soltero	3	AAVE750703GZ4	AAVE750703MGRBZD07	GUERRERO	16868.0
ABARCA VAZQUEZ HECTOR MANUEL	42	s.nelso2@hotmail.com	188-1931-84	Doctorado	Diseñador de moda	0	Soltero	2	AAVH721128KQ3	AAVH721128HGRBZC03	GUERRERO	9869.6
ABARCA VELAZQUEZ ROSA MARGARITA	49	a.perr2@gmail.com	532-5597-27	Secundaria	Abogado	11	Soltero	2	AAVR780830NS0	AAVR780830MCSBLS08	CHIAPAS	39354.0
ABARCA VILLAFUERTE ROBERTO MOISES	48	l.ree2@outlook.com	041-2828-94	Maestría	Oficial de policía	2	Soltero	2	AAVR600701J57	AAVR600701HCSBLB02	CHIAPAS	42026.4
ABARCA VILLANUEVA JOSE ALBERTO	52	a.nelso0@gmail.com	708-0614-21	Secundaria	Diseñador de moda	1	Casado	0	AAVA7907043X7	AAVA790704HGRBLL02	QUINTANA ROO	36262.0
ABARCA VIVEROS FERNANDO	47	c.cunningha4@randatmail.com	905-5484-72	Doctorado	Panadero	6	Soltero	4	AAVF790817TT4	AAVF790817HMNBVR02	MICHOACAN	54085.200000000004
ABARCA ZAPATA ROSA MARIA	52	a.scot1@randatmail.com	687-7909-19	Secundaria	Compositor	3	Casado	1	AAZR6005305U9	AAZR600530MCSBPS05	CHIAPAS	11526.0
ABARI ANTONIO RUIZ CARMONA	43	a.tucke2@hotmail.com	248-0886-52	Licenciatura	Artista plástico	1	Soltero	2	RUCA811111DPA	RUCA811111HNTZRB08	NAYARIT	38512.0
ABAROA SALAZAR MARINA JOSEFI	50	s.harpe1@yahoo.com	687-7166-93	Primaria	Botánico	9	Casado	1	AASM560915PF9	AASM560915MVZBLR05	VERACRUZ	26986.0
ABASCAL ARIAS CARMINA	52	c.rile5@yahoo.com	713-8539-10	Primaria	Cocinero	9	Casado	5	AAAC690421BX3	AAAC690421MOCBRR02	OAXACA	42446.0
ABASCAL ARIAS ZULEMA AMPARO	48	b.chapma5@randatmail.com	441-2513-47	Doctorado	Botánico	9	Casado	5	AAAZ660209DX2	AAAZ660209MOCBRL02	OAXACA	29967.600000000002
ABASCAL CORDERO ANA MARIA	43	t.elli1@gmail.com	408-7430-69	Secundaria	Vendedor	4	Casado	1	AACA6609191F3	AACA660919MOCBRN07	OAXACA	17710.0
ABASCAL DIAZ MARIA GUADALUPE	44	a.anderso5@randatmail.com	117-8276-00	Maestría	Arqueólogo	1	Casado	5	AADG611214AS5	AADG611214MVZBZD01	MEXICO	5850.0
ABASCAL GONZALEZ ENRIQUE	49	c.hun2@gmail.com	536-6620-95	Licenciatura	Compositor	13	Soltero	2	AAGE621221754	AAGE621221HNTBNN08	MEXICO	23052.0
ABASCAL GONZALEZ JOSE	49	m.evan2@randatmail.com	159-2640-42	Primaria	Productor	4	Soltero	2	AAGJ660917T4A	AAGJ660917HNTBNS04	JALISCO	14618.0
ABASCAL GONZALEZ MIGUEL	44	m.perkin0@outlook.com	211-6978-67	Maestría	Bailarín	8	Casado	0	AAGM560409GP3	AAGM560409HNTBNG09	MEXICO	9869.6
ABASCAL NUNEZ ABIGAIL BERENICE	46	b.cunningha5@yahoo.com	239-5901-92	Doctorado	Diseñador de interiores	8	Soltero	5	AANA820213MKA	AANA820213MVZBXB05	PUEBLA	42026.4
ABASCAL ORTIZ ROSA GUADALUPE	51	r.elli0@outlook.com	271-9246-66	Licenciatura	Oficial de policía	10	Casado	0	AAOR630606D83	AAOR630606MGTBRS05	PUEBLA	4500.0
ABASCAL PRECIADO MIGUEL	41	v.turne4@hotmail.com	784-7158-39	Doctorado	Físico	1	Casado	4	AAPM86031419A	AAPM860314HNTBRG03	JALISCO	29967.600000000002
ABASCAL SANCHEZ OMAR	52	w.gibso3@randatmail.com	496-2777-66	Maestría	Contador	0	Soltero	3	AASO821114986	AASO821114HVZBNM05	VERACRUZ	42026.4
ABASCAL SANCHEZ VELIA	46	m.kelle0@outlook.com	987-3020-67	Secundaria	Científico	6	Soltero	0	AASV650719BA3	AASV650719MVZBNL03	VERACRUZ	11526.0
ABASOLO CUEVAS ELIZABETH	43	a.lloy4@randatmail.com	230-5150-51	Primaria	Bailarín	8	Casado	4	AACE670615000	AACE670615MMCBVL04	MEXICO	36262.0
ABASOLO CUEVAS MARTIN	52	d.russel0@hotmail.com	327-3804-96	Licenciatura	Bailarín	1	Casado	0	AACM620810000	AACM620810HMCBVR01	MEXICO	44696.0
ABASOLO FONSECA NELIDA	52	a.dougla2@randatmail.com	303-7108-92	Secundaria	Panadero	7	Casado	2	AAFN630412LM2	AAFN630412MPLBNL06	PUEBLA	17710.0
ABASOLO HERNANDEZ PATRICIA	43	e.johnsto1@gmail.com	187-4387-88	Secundaria	Mecánico	6	Casado	1	AAHP871003000	AAHP871003MMCBRT07	MEXICO	11526.0
ABASOLO MONTES MIRNA	45	f.william3@yahoo.com	407-1108-47	Secundaria	Vendedor	5	Soltero	3	AAMM7004133X9	AAMM700413MPLBNR04	MEXICO	33170.0
ABASOLO ROMERO RITA	52	s.thoma1@yahoo.com	791-5631-72	Licenciatura	Vendedor	1	Casado	1	AARR670522000	AARR670522MMCBMT09	MEXICO	4500.0
ABASOLO VIGUERAS OLGA	50	m.brow0@randatmail.com	359-6815-08	Secundaria	Bombero	9	Soltero	0	AAVO78052624A	AAVO780526MPLBGL06	PUEBLA	39354.0
ABAUNZA COSIO GLORIA EUNICE	43	a.mille0@hotmail.com	993-9527-24	Licenciatura	Matemático	0	Soltero	0	AACG540103EJ9	AACG540103MGTBSL06	MICHOACAN	29236.0
ABAUNZA CRUZ MARIA ELENA	42	g.richard3@yahoo.com	646-4417-70	Doctorado	Fotógrafo	6	Soltero	3	AACE850405000	AACE850405MMCBRL00	MEXICO	5850.0
ABAUNZA SOTO ADRIANA PATRICI	43	n.gran0@outlook.com	921-1041-38	Licenciatura	Productor	3	Soltero	0	AASA6703176I7	AASA670317MTSBTD01	VERACRUZ	4500.0
ABAZAN ANDRADE JOSE AMADOR	41	h.montgomer2@hotmail.com	228-3221-97	Doctorado	Científico	7	Soltero	2	AAAA7407302F1	AAAA740730HMNBNM02	MICHOACAN	25948.0
ABAZAN ANDRADE MARGARITO	49	a.murph3@outlook.com	311-0736-03	Licenciatura	Oficial de policía	10	Casado	3	AAAM760606FH6	AAAM760606HMNBNR05	MICHOACAN	41604.0
ABBA HEFZI-BA CISNEROS GALVAN	41	a.carrol4@hotmail.com	165-0378-27	Secundaria	Productor	3	Soltero	4	CIGA8704082GA	CIGA870408MNLSLB08	NUEVO LEON	36262.0
ABBY DALETH LARIOS ALVARADO	44	a.barret2@randatmail.com	894-2253-43	Primaria	Bombero	4	Casado	2	LAAA860914IJ1	LAAA860914MBCRLB05	BAJA CALIFORNIA	5342.0
ABBY JOCELYN DENEB ARREGUIN ALONSO	44	v.rile0@hotmail.com	065-9932-32	Licenciatura	Programador	1	Casado	0	AEAA870319LD8	AEAA870319MZSRLB06	ZACATECAS	26144.0
ABBY ROXANA ORTIZ UC	45	a.perr5@yahoo.com	504-1505-54	Licenciatura	Agrónomo	2	Casado	5	OIUA830610PA4	OIUA830610MYNRCB01	YUCATAN	44696.0
ABD EL DAYAN PIMIENTA ROSAS	52	a.fowle2@yahoo.com	825-6744-31	Doctorado	Actor	12	Soltero	2	PIRA760802L23	PIRA760802HNTMSB00	NAYARIT	58104.8
ABDAIN MENDOZA CANO	46	a.col0@outlook.com	808-6588-66	Maestría	Electricista	1	Casado	0	MECA830118IF4	MECA830118HHGNNB17	HIDALGO	29967.600000000002
ABDALA CARDENAS CINTHYA	51	s.bennet1@outlook.com	033-0706-92	Maestría	Programador	5	Soltero	1	AACC830921UD7	AACC830921MVZBRN07	VERACRUZ	58104.8
ABDALA HERRERA MIRIAM	52	o.alexande2@outlook.com	848-9891-95	Doctorado	Actor	2	Soltero	2	AAHM7710129Q3	AAHM771012MVZBRR10	VERACRUZ	54085.200000000004
ABDALA ORTEGA PALOMINO	42	c.carte1@hotmail.com	171-0915-06	Licenciatura	Compositor	1	Casado	1	OEPA7510256C6	OEPA751025MSRRLB02	HIDALGO	7592.0
ABDALA ZAMUDIO CARLA MARIA	48	a.morga4@gmail.com	663-1858-46	Primaria	Conductor	2	Casado	4	AAZC8309238Y2	AAZC830923MVZBMR04	VERACRUZ	14618.0
ABDALI GODOY MEZA	51	j.hal4@hotmail.com	543-7977-30	Secundaria	Botánico	14	Casado	4	GOMA740504HR2	GOMA740504HSRDZB05	BAJA CALIFORNIA	14618.0
ABDALLAN RAMIREZ LUNA	42	n.wilso4@randatmail.com	254-4687-85	Secundaria	Científico	3	Soltero	4	RALA860103V74	RALA860103HQTMNB02	QUERETARO	39354.0
ABDEEL MORALES GALINDO	51	w.richard5@outlook.com	161-6136-78	Secundaria	Químico	8	Soltero	5	MOGA870201TP7	MOGA870201MVZRLB06	VERACRUZ	20802.0
ABDEL ADRIAN GARCIA BENITEZ	44	j.morri3@outlook.com	830-3499-39	Primaria	Joyero	10	Casado	3	GABA851117QM4	GABA851117HCLRNB02	COAHUILA	14618.0
ABDEL DEL ANGEL MORENO ESPINOZA	51	l.murra1@gmail.com	143-2818-68	Secundaria	Trabajador social	11	Casado	1	MOEA871128NS5	MOEA871128HHGRSB07	HIDALGO	20802.0
ABDEL EDEL NAJERA AMBRIZ	45	a.phillip1@randatmail.com	902-8841-96	Secundaria	Gerente	11	Soltero	1	NAAA781127317	NAAA781127HASJMB28	AGUSCALIENTES	14618.0
ABDEL EDUARDO HERNANDEZ CARRILLO	44	g.camero1@gmail.com	732-6090-79	Licenciatura	Piloto de avión	3	Casado	1	HECA8004256F8	HECA800425HCLRRB02	CHIHUAHUA	38512.0
ABDEL IRAM RAMIREZ GONZALEZ	42	e.howar2@hotmail.com	178-7761-71	Secundaria	Contador	9	Soltero	2	RAGA8005022U8	RAGA800502HTSMNB00	TAMAULIPAS	42446.0
ABDEL MORENO ANGELES	44	k.parke3@randatmail.com	091-4510-33	Doctorado	Joyero	9	Soltero	3	MOAA560502NQ6	MOAA560502HHGRNB02	HIDALGO	13889.2
ABDEL OSORIO HERNANDEZ	47	d.kelle5@randatmail.com	577-8806-86	Doctorado	Bioquímico	7	Casado	5	OOHA831025TF1	OOHA831025HHGSRB04	HIDALGO	29967.600000000002
ABDEL VAZQUEZ LIMA	44	d.myer3@gmail.com	341-3116-80	Licenciatura	Panadero	8	Soltero	3	VALA611204381	VALA611204MDFZMB03	TLAXCALA	26144.0
ABDELNUR VANEGAS SARA ASTRID GUADALUPE	53	f.perr1@outlook.com	053-2331-27	Secundaria	Peluquero	11	Casado	1	AEVS660817JG9	AEVS660817MQRBNR08	QUINTANA ROO	11526.0
ABDENAGO ARROYOS CARBALLO	49	w.rya2@outlook.com	550-9172-72	Licenciatura	Intérprete	5	Casado	2	AOCA880912322	AOCA880912HCHRRB03	CHIHUAHUA	26144.0
